,slab,eta,pH,dict_ads,R_CO(g),R_CH2O(g),R_CH3OH(l),R_CH4(g)
10,Al1Cu3,-1.4,3,"{'*CO': 0.7168402977618596, '*CHO': 0.0001767895830027322, '*COH': 6.005237666815148e-06, '*CH2O': 1.3554930851607122e-05, '*CHOH': 2.474619446792579e-10, '*C': 5.21651398921368e-06, '*CH3O': 5.669467093212212e-05, '*CH2OH': 1.032277797279241e-06, '*CH': 2.3272255491087176e-05, '*O': 1.0221981200338909e-08, '*CH3OH': 4.977525691838729e-07, '*CH2': 0.0003271228789906767, '*OH': 1.9448695668960794e-07, '*CH3': 0.28254124589601026, '*H2O': 3.920314419122431e-06, '*CH4': 2.0712558689196236e-06}",-12882815.682798607,0.00048254060256522113,0.09072906973887453,12882815.590978662
11,Al1Cu3,-1.4,4,"{'*CO': 0.7595853633908406, '*CHO': 0.0001387419030989569, '*COH': 3.5450492268452986e-06, '*CH2O': 9.963420475491537e-06, '*CHOH': 8.464998125371062e-11, '*C': 2.8829537310396858e-06, '*CH3O': 5.136545023852263e-05, '*CH2OH': 5.401796203520053e-07, '*CH': 1.471611489977064e-05, '*O': 7.154113813180267e-09, '*CH3OH': 2.912150453774846e-07, '*CH2': 0.00023332319230256966, '*OH': 1.5072512976869686e-07, '*CH3': 0.2399554311260314, '*H2O': 1.7878013271714923e-06, '*CH4': 9.445567901260856e-07}",-5874988.56653319,0.00035468679054783395,0.053081936280881314,5874988.513123377
12,Al1Cu3,-1.4,5,"{'*CO': 0.7987585047643992, '*CHO': 0.00010818987837345794, '*COH': 2.0810356932450926e-06, '*CH2O': 7.330795273819703e-06, '*CHOH': 2.8158532587273984e-11, '*C': 1.5682334061519977e-06, '*CH3O': 4.726153968995968e-05, '*CH2OH': 2.7786436885789174e-07, '*CH': 9.19504206090016e-06, '*O': 5.161298689570735e-09, '*CH3OH': 1.7235831647272866e-07, '*CH2': 0.0001642537156893017, '*OH': 1.2295672029384655e-07, '*CH3': 0.20089941160880942, '*H2O': 7.899179999822275e-07, '*CH4': 4.172878147778557e-07}",-2595625.23227753,0.00026096823417522835,0.03141703465432533,2595625.2001058743
13,Al1Cu3,-1.4,6,"{'*CO': 0.83377799278372, '*CHO': 8.386171355431339e-05, '*COH': 1.2160558132957712e-06, '*CH2O': 5.399240155800327e-06, '*CHOH': 9.125194587044662e-12, '*C': 8.402946509674399e-07, '*CH3O': 4.416550139698241e-05, '*CH2OH': 1.4078278990836515e-07, '*CH': 5.680130351293754e-06, '*O': 3.841205341402156e-09, '*CH3OH': 1.0326013271103932e-07, '*CH2': 0.00011415473354090549, '*OH': 1.0544864501113802e-07, '*CH3': 0.16596564001532757, '*H2O': 3.3844988140132115e-07, '*CH4': 1.7874592098428525e-07}",-1111982.1164467204,0.0001922070002935742,0.018821993821842978,1111982.0974724332
14,Al1Cu3,-1.3,0,"{'*CO': 0.6569341493551675, '*CHO': 0.00024046633716480793, '*COH': 1.1858756105998059e-05, '*CH2O': 2.031653832059537e-05, '*CHOH': 9.655587561654872e-10, '*C': 1.1063829144320787e-05, '*CH3O': 6.603770516428735e-05, '*CH2OH': 2.340829686004197e-06, '*CH': 4.163761968860239e-05, '*O': 1.7054196404022075e-08, '*CH3OH': 1.0206482009455685e-06, '*CH2': 0.0004991357163436144, '*OH': 2.9360933429254587e-07, '*CH3': 0.3421501813527346, '*H2O': 1.044137160194032e-05, '*CH4': 5.515647876003306e-06}",-34309201.36939603,0.0007232463780585904,0.1860411528448372,34309201.182030305
15,Al1Cu3,-1.3,1,"{'*CO': 0.7030085808384599, '*CHO': 0.00019031592572763857, '*COH': 7.060874552765483e-06, '*CH2O': 1.4913579192777418e-05, '*CHOH': 3.427343251160751e-10, '*C': 6.247337532961851e-06, '*CH3O': 5.8637166747813705e-05, '*CH2OH': 1.2567149363683756e-06, '*CH': 2.6754579262603252e-05, '*O': 1.1485279587223442e-08, '*CH3OH': 5.889321866242997e-07, '*CH2': 0.000362233416244816, '*OH': 2.1267925965089972e-07, '*CH3': 0.29631296778898764, '*H2O': 4.9668952760911925e-06, '*CH4': 2.6241509237144703e-06}",-16321888.151260417,0.0005309069864590071,0.10734905802558574,16321888.043090595
16,Al1Cu3,-1.3,2,"{'*CO': 0.7466957292698285, '*CHO': 0.00014965769854913974, '*COH': 4.176215103920782e-06, '*CH2O': 1.0958711565937477e-05, '*CHOH': 1.183611298069856e-10, '*C': 3.4700391642449416e-06, '*CH3O': 5.287263692451553e-05, '*CH2OH': 6.614057474991345e-07, '*CH': 1.6982079137764834e-05, '*O': 7.964393143545812e-09, '*CH3OH': 3.43382710617247e-07, '*CH2': 0.0002594253393019152, '*OH': 1.6220661136208537e-07, '*CH3': 0.2528008464903483, '*H2O': 2.2876676609790673e-06, '*CH4': 1.2086717486937864e-06}",-7517683.770642973,0.00039011805668775953,0.06259092534629832,7517683.707582866
17,Al1Cu3,-1.3,3,"{'*CO': 0.7871358522721165, '*CHO': 0.00011683735861392902, '*COH': 2.4558151735974358e-06, '*CH2O': 8.05425903231755e-06, '*CHOH': 3.968514821862763e-11, '*C': 1.8969442698426391e-06, '*CH3O': 4.837765363197852e-05, '*CH2OH': 3.416887306070525e-07, '*CH': 1.065088598546313e-05, '*O': 5.687152793107969e-09, '*CH3OH': 2.0233407342233536e-07, '*CH2': 0.00018330638169830629, '*OH': 1.3014881850329844e-07, '*CH3': 0.21248978965825063, '*H2O': 1.0202371271035463e-06, '*CH4': 5.389866075771702e-07}",-3352530.774761818,0.0002867227468157897,0.0368809392348997,3352530.7374016014
18,Al1Cu3,-1.3,4,"{'*CO': 0.8234007974497649, '*CHO': 9.079912199595317e-05, '*COH': 1.4367623380701772e-06, '*CH2O': 5.9348979999496575e-06, '*CHOH': 1.2969536689643011e-11, '*C': 1.0209792613453168e-06, '*CH3O': 4.502706226994337e-05, '*CH2OH': 1.7403562960658138e-07, '*CH': 6.6015659436435395e-06, '*O': 4.195007585583594e-09, '*CH3OH': 1.2085160071958883e-07, '*CH2': 0.000127942339228442, '*OH': 1.1000726361366934e-07, '*CH3': 0.17631912264580893, '*H2O': 4.4144002492853376e-07, '*CH4': 2.3316042225881348e-07}",-1450427.621182036,0.00021127582932075877,0.022028521776834356,1450427.5992272529
19,Al1Cu3,-1.3,5,"{'*CO': 0.8553741868598111, '*CHO': 7.011558538086772e-05, '*COH': 8.375014797189271e-07, '*CH2O': 4.3740930202519684e-06, '*CHOH': 4.134064042663171e-12, '*C': 5.416912398652784e-07, '*CH3O': 4.253043638215675e-05, '*CH2OH': 8.735145320433949e-08, '*CH': 4.047791114760989e-06, '*O': 3.1909057032201847e-09, '*CH3OH': 7.303159106727975e-08, '*CH2': 8.814688056870997e-05, '*OH': 9.755347581018069e-08, '*CH3': 0.14441457693188023, '*H2O': 1.8528821380406036e-07, '*CH4': 9.783012916971974e-08}",-608683.9836490413,0.00015571289184543964,0.013312012291465385,608683.969985378
20,Al1Cu3,-1.3,6,"{'*CO': 0.8828961827787675, '*CHO': 5.388164174596001e-05, '*COH': 4.869552533764916e-07, '*CH2O': 3.226419060240589e-06, '*CHOH': 1.2900357955214513e-12, '*C': 2.835728983164912e-07, '*CH3O': 4.0794562190706514e-05, '*CH2OH': 4.330461821653916e-08, '*CH': 2.4571270158041807e-06, '*O': 2.5058122151918886e-09, '*CH3OH': 4.469961796197953e-08, '*CH2': 5.997474919493963e-05, '*OH': 9.06369752154144e-08, '*CH3': 0.11694237565189984, '*H2O': 7.556796991762604e-08, '*CH4': 3.9876709545136035e-08}",-248174.53179749261,0.00011485696345487584,0.008147732440684483,248174.52287983362
21,Al1Cu3,-1.2,0,"{'*CO': 0.7334846098402517, '*CHO': 0.00016133223597448188, '*COH': 4.916970812138112e-06, '*CH2O': 1.2054569317988938e-05, '*CHOH': 1.6504779189130498e-10, '*C': 4.17025349802205e-06, '*CH3O': 5.450458127125413e-05, '*CH2OH': 8.084573558112802e-07, '*CH': 1.957423965266668e-05, '*O': 8.892079262914715e-09, '*CH3OH': 4.05336324778034e-07, '*CH2': 0.0002880835551647814, '*OH': 1.7542823969786525e-07, '*CH3': 0.26596335148047834, '*H2O': 2.9183662816430567e-06, '*CH4': 1.5419029707977754e-06}",-9590292.562040742,0.00042912938516960014,0.07388367224057489,9590292.487853687
22,Al1Cu3,-1.2,1,"{'*CO': 0.7749580568417974, '*CHO': 0.00012630018203921335, '*COH': 2.8961025911942817e-06, '*CH2O': 8.863919291980274e-06, '*CHOH': 5.5852483805673825e-11, '*C': 2.290686407815925e-06, '*CH3O': 4.967191798377814e-05, '*CH2OH': 4.2020084342606896e-07, '*CH': 1.2320850611496714e-05, '*O': 6.295073777107864e-09, '*CH3OH': 2.3817130208672027e-07, '*CH2': 0.0002044504488373769, '*OH': 1.3864883203044815e-07, '*CH3': 0.22463164070524327, '*H2O': 1.3148354366607023e-06, '*CH4': 6.946490075524115e-07}",-4320676.051790659,0.00031554575992060694,0.04341325794109979,4320676.007731948
23,Al1Cu3,-1.2,2,"{'*CO': 0.8126019120939294, '*CHO': 9.825767636207491e-05, '*COH': 1.69691186640031e-06, '*CH2O': 6.524323095685221e-06, '*CHOH': 1.8390339561805697e-11, '*C': 1.2387972907930107e-06, '*CH3O': 4.597383820987696e-05, '*CH2OH': 2.148568810262649e-07, '*CH': 7.664449635355222e-06, '*O': 4.5952688914275795e-09, '*CH3OH': 1.416094237817741e-07, '*CH2': 0.00014322128451670286, '*OH': 1.1530127967405995e-07, '*CH3': 0.1870918532097463, '*H2O': 5.741163603819397e-07, '*CH4': 3.0326216731823266e-07}",-1886435.8869199904,0.0002322587132599697,0.025812204861231473,1886435.8607096479
24,Al1Cu3,-1.2,3,"{'*CO': 0.8459512494374356, '*CHO': 7.600097237898834e-05, '*COH': 9.901706825035713e-07, '*CH2O': 4.807076303707736e-06, '*CHOH': 5.904557131410377e-12, '*C': 6.601333539879384e-07, '*CH3O': 4.3216792778355754e-05, '*CH2OH': 1.0828559925019716e-07, '*CH': 4.714995124269145e-06, '*O': 3.4612322207843364e-09, '*CH3OH': 8.524243218173094e-08, '*CH2': 9.905870457303337e-05, '*OH': 1.0073709157812637e-07, '*CH3': 0.15381850376197606, '*H2O': 2.4319441719091316e-07, '*CH4': 1.2842080158241604e-07}",-798962.9179981933,0.0001711266196458026,0.015537773289263673,798962.9024582068
25,Al1Cu3,-1.2,4,"{'*CO': 0.8748438192477906, '*CHO': 5.848720231197063e-05, '*COH': 5.76094888843351e-07, '*CH2O': 3.545003542849339e-06, '*CHOH': 1.8540023142576547e-12, '*C': 3.4697349429558873e-07, '*CH3O': 4.125733284033649e-05, '*CH2OH': 5.388114458644178e-08, '*CH': 2.870767131178081e-06, '*O': 2.6913282467193023e-09, '*CH3OH': 5.1967215575282176e-08, '*CH2': 6.766028117735867e-05, '*OH': 9.227724185400141e-08, '*CH3': 0.12498103050984484, '*H2O': 1.0005755760094529e-07, '*CH4': 5.281017086267501e-08}",-328634.8842346953,0.00012619821999752568,0.009472451611441458,328634.8751547302
26,Al1Cu3,-1.2,5,"{'*CO': 0.8978271113316555, '*CHO': 4.4741816511943064e-05, '*COH': 3.5226200384790896e-07, '*CH2O': 2.6113788287742436e-06, '*CHOH': 5.99826946946037e-13, '*C': 1.8957185626780107e-07, '*CH3O': 3.991953889296903e-05, '*CH2OH': 2.6457946602786736e-08, '*CH': 1.8228034885828157e-06, '*O': 2.15702182700439e-09, '*CH3OH': 3.2034725719212496e-08, '*CH2': 4.657015567572453e-05, '*OH': 8.826318211362113e-08, '*CH3': 0.10203644865031143, '*H2O': 4.0650911321704026e-08, '*CH4': 2.1441114494571834e-08}",-133469.7942389506,9.296220890816152e-05,0.005839208160411274,133469.78906086367
27,Al1Cu3,-1.2,6,"{'*CO': 0.9126592647160262, '*CHO': 3.715182615122373e-05, '*COH': 2.137854573311994e-07, '*CH2O': 2.0950010126177815e-06, '*CHOH': 2.052460085498129e-13, '*C': 1.0166138838517789e-07, '*CH3O': 4.268158607772386e-05, '*CH2OH': 1.3998245863510032e-08, '*CH': 1.1395616633992179e-06, '*O': 1.9436198719268035e-09, '*CH3OH': 2.1779480381261716e-08, '*CH2': 3.31610799151031e-05, '*OH': 9.592378872668928e-08, '*CH3': 0.08722402220226697, '*H2O': 1.6999087244689597e-08, '*CH4': 8.955874402264156e-09}",-55779.83945062177,7.45797276334666e-05,0.003969908176723012,55779.8353645407
28,Al1Cu3,-1.1,0,"{'*CO': 0.8013890729371314, '*CHO': 0.00010626984821702609, '*COH': 2.0033702168861465e-06, '*CH2O': 7.1729830951425285e-06, '*CHOH': 2.6013731963715562e-11, '*C': 1.5009600065189973e-06, '*CH3O': 4.7010488723924454e-05, '*CH2OH': 2.64886603197619e-07, '*CH': 8.888947470478144e-06, '*O': 5.048876262200163e-09, '*CH3OH': 1.6612941110752374e-07, '*CH2': 0.00016012914554959444, '*OH': 1.2142384478460954e-07, '*CH3': 0.19827586223051358, '*H2O': 7.444992639310978e-07, '*CH4': 3.9328917806447105e-07}",-2446364.913783594,0.0002553502945025973,0.030281645659341043,2446364.8836464263
29,Al1Cu3,-1.1,1,"{'*CO': 0.8360990691710889, '*CHO': 8.234009216785195e-05, '*COH': 1.1703425454845758e-06, '*CH2O': 5.283383223150093e-06, '*CHOH': 8.41527413957067e-12, '*C': 8.034136824728893e-07, '*CH3O': 4.397937549919009e-05, '*CH2OH': 1.3407255670531387e-07, '*CH': 5.486738221199365e-06, '*O': 3.765937704141424e-09, '*CH3OH': 9.96162047901552e-08, '*CH2': 0.00011118777328730919, '*OH': 1.0449786475529493e-07, '*CH3': 0.16364968300060873, '*H2O': 3.1830647396542704e-07, '*CH4': 1.6810353228823438e-07}",-1045787.9627412768,0.0001880826211503362,0.01815778792733719,1045787.9445287613
30,Al1Cu3,-1.1,2,"{'*CO': 0.8663722389319064, '*CHO': 6.346025993623449e-05, '*COH': 6.814445955778571e-07, '*CH2O': 3.8952623383658625e-06, '*CHOH': 2.659709138001256e-12, '*C': 4.240348118900112e-07, '*CH3O': 4.17859274393459e-05, '*CH2OH': 6.696677230715761e-08, '*CH': 3.3510222884298516e-06, '*O': 2.8994504839312995e-09, '*CH3OH': 6.049054397087457e-08, '*CH2': 7.623917219342876e-05, '*OH': 9.435260014322568e-08, '*CH3': 0.13343742748878704, '*H2O': 1.321301965636078e-07, '*CH4': 6.975025323478855e-08}",-434015.046264885,0.00013866704717876305,0.011026062188839333,434015.0353106753
31,Al1Cu3,-1.1,3,"{'*CO': 0.8905392860730224, '*CHO': 4.8595356051551217e-05, '*COH': 4.166851775502349e-07, '*CH2O': 2.8684039801222035e-06, '*CHOH': 8.646377991350844e-13, '*C': 2.3247189780691068e-07, '*CH3O': 4.023544506805798e-05, '*CH2OH': 3.299068033706166e-08, '*CH': 2.1329483225792703e-06, '*O': 2.300448871309982e-09, '*CH3OH': 3.713379480423607e-08, '*CH2': 5.2688906795061316e-05, '*OH': 8.900621193313024e-08, '*CH3': 0.10931327092668708, '*H2O': 5.415437662557816e-08, '*CH4': 2.8570824807530605e-08}",-177829.8980092198,0.00010211202108821825,0.006768653477744319,177829.89138107002
32,Al1Cu3,-1.1,4,"{'*CO': 0.9087388906452606, '*CHO': 3.8812734168542075e-05, '*COH': 2.534338273861465e-07, '*CH2O': 2.2115677887441694e-06, '*CHOH': 2.868742920548653e-13, '*C': 1.2537185617671206e-07, '*CH3O': 4.1158286358067244e-05, '*CH2OH': 1.682823533165483e-08, '*CH': 1.3397175298808495e-06, '*O': 1.972527783499159e-09, '*CH3OH': 2.416731391198357e-08, '*CH2': 3.679337292075417e-05, '*OH': 9.177040392214793e-08, '*CH3': 0.09114023449256274, '*H2O': 2.220403865089736e-08, '*CH4': 1.1703244836528358e-08}",-72876.100822091,7.872937642230152e-05,0.004405156387071588,72876.09585810952
33,Al1Cu3,-1.1,5,"{'*CO': 0.9255423729584913, '*CHO': 3.0881681731926605e-05, '*COH': 1.4718834508000556e-07, '*CH2O': 1.7021518567578468e-06, '*CHOH': 8.992115629183411e-14, '*C': 6.384261610997903e-08, '*CH3O': 4.2642299977043554e-05, '*CH2OH': 8.484612241266145e-09, '*CH': 7.969608799958878e-07, '*O': 1.7433224353956882e-09, '*CH3OH': 1.5904278751434765e-08, '*CH2': 2.4902295965847844e-05, '*OH': 9.841827351537406e-08, '*CH3': 0.07435634807860471, '*H2O': 8.757783438478176e-09, '*CH4': 4.609087238479897e-09}",-28720.511036224972,6.059473055298236e-05,0.0028989913971742436,28720.508273687363
34,Al1Cu3,-1.1,6,"{'*CO': 0.9412953413301479, '*CHO': 2.357884553805541e-05, '*COH': 8.577857014913805e-08, '*CH2O': 1.2569798237510785e-06, '*CHOH': 2.69917788400294e-14, '*C': 3.225550623688269e-08, '*CH3O': 4.300943517361509e-05, '*CH2OH': 4.068587261546188e-09, '*CH': 4.7173819212036314e-07, '*O': 1.5141049868257187e-09, '*CH3OH': 1.0176893890489407e-08, '*CH2': 1.6237572368489536e-05, '*OH': 1.0451498121785622e-07, '*CH3': 0.05861985905360413, '*H2O': 3.2818390239905477e-09, '*CH4': 1.7234033035821895e-09}",-10748.784857318014,4.4747096699003585e-05,0.0018550182815314648,10748.783433040064
35,Al1Cu3,-1.0,0,"{'*CO': 0.8574758332321468, '*CHO': 6.882616375950187e-05, '*COH': 8.059032369030546e-07, '*CH2O': 4.28042521527855e-06, '*CHOH': 3.808273461682759e-12, '*C': 5.175671227453487e-07, '*CH3O': 4.238332572949138e-05, '*CH2OH': 8.313588314116312e-08, '*CH': 3.907995012927203e-06, '*O': 3.1332687300063956e-09, '*CH3OH': 7.04983051209297e-08, '*CH2': 8.580316718853025e-05, '*OH': 9.68986116079238e-08, '*CH3': 0.14231703065139198, '*H2O': 1.7401148650100863e-07, '*CH4': 9.187314332076773e-08}",-571629.6931885699,0.00015237842119799434,0.012850251385496059,571629.6799820028
36,Al1Cu3,-1.0,1,"{'*CO': 0.8846854103595586, '*CHO': 5.2874182394494184e-05, '*COH': 4.6852147275827094e-07, '*CH2O': 3.157474485233281e-06, '*CHOH': 1.186737344539381e-12, '*C': 2.7069745224266285e-07, '*CH3O': 4.069739602645764e-05, '*CH2OH': 4.1180522083727384e-08, '*CH': 2.370659373479097e-06, '*O': 2.466148162026108e-09, '*CH3OH': 4.318834598311801e-08, '*CH2': 5.8328282975273484e-05, '*OH': 9.031893379375255e-08, '*CH3': 0.11515609962807644, '*H2O': 7.082756763607625e-08, '*CH4': 3.7373397844592894e-08}",-232600.5751981344,0.00011240261255247451,0.007872261636004655,232600.5677872179
37,Al1Cu3,-1.0,2,"{'*CO': 0.9013426339037949, '*CHO': 4.2125855852328556e-05, '*COH': 2.994052371950174e-07, '*CH2O': 2.4259586852060582e-06, '*CHOH': 4.1405398935693234e-13, '*C': 1.5391654865281998e-07, '*CH3O': 4.129951890613512e-05, '*CH2OH': 2.1001951325834493e-08, '*CH': 1.5683986441999811e-06, '*O': 2.0865829124500502e-09, '*CH3OH': 2.79005207345361e-08, '*CH2': 4.1686604463391525e-05, '*OH': 9.159190707292298e-08, '*CH3': 0.09852760278897796, '*H2O': 2.970647211798393e-08, '*CH4': 1.5662916093855806e-08}",-97517.47706071191,8.636145610575871e-05,0.005085635812237325,97517.47204507893
38,Al1Cu3,-1.0,3,"{'*CO': 0.9199785902063715, '*CHO': 3.355677589775755e-05, '*COH': 1.7400974665878643e-07, '*CH2O': 1.8685479572987119e-06, '*CHOH': 1.302880284752105e-13, '*C': 7.870723795759125e-08, '*CH3O': 4.26288758430133e-05, '*CH2OH': 1.062797682308092e-08, '*CH': 9.360501055832441e-07, '*O': 1.8272308088138472e-09, '*CH3OH': 1.830092358137948e-08, '*CH2': 2.8340264596962223e-05, '*OH': 9.707456714486772e-08, '*CH3': 0.07991367446666105, '*H2O': 1.1809543073704972e-08, '*CH4': 6.21838524627338e-09}",-38739.605580207215,6.651824838560726e-05,0.0033358457086886894,38739.60220093602
39,Al1Cu3,-1.0,4,"{'*CO': 0.9367627719038844, '*CHO': 2.5639132829207766e-05, '*COH': 1.0137411059064974e-07, '*CH2O': 1.3812344275722718e-06, '*CHOH': 3.921272395371519e-14, '*C': 3.9891612103612974e-08, '*CH3O': 4.284326791183721e-05, '*CH2OH': 5.114805872464824e-09, '*CH': 5.553313977449919e-07, '*O': 1.5859182859533525e-09, '*CH3OH': 1.1672736564797547e-08, '*CH2': 1.856779788520778e-05, '*OH': 1.027659630076795e-07, '*CH3': 0.06314796977125785, '*H2O': 4.458992466244385e-09, '*CH4': 2.343324711350273e-09}",-14610.867960929898,4.917042368279802e-05,0.0021276766719004222,14610.865836115989
